cmt_col,labels
Cũng trong này luôn,0
Đặc sản tổ quốc tui đó …,0
Bệnh của m còn nặng hơn ung thư đấy thằng ngu ạ,2
"Có cục cút,nhiều khi còn bị luộc hết đồ",1
thiện tai,0
Đm bắt đc chặt chân ko nói nhiều,1
ủa tưởng sợ bị khui nên phải đăng này để dọa. Có lên live stream nói linh tinh không anh Rách của các em là người rõ nhất đoá,1
"đúng đóm thở câu nào hôi câu đấy =)) đúng loại ruồi phát sáng đ bt gì toàn nói mấy câu kid . viruss là người tạo r con beat đấy sẽ hiểu rõ từng nốt nhạc âm thanh của bài Thiên An ơi , sao m k tự hỏi sao rách lại nhiều anti hơn các ca sĩ … Xem thêm",2
Tr KhanhhVyy hình như anh coi nhầm phim seggs r bé oi,0
giật đ trượt phát nào đến từ vị trí của Độ Tày,1
ráng đi dắk con 5 của Tuấn,1
Cho em dia chi Di chi,0
Giàn cảnh ghê thật,0
阮氏幸 Tôm Dim e k chỉ thấy 1 lần đâu,0
Ad óc chó não phẳng vkl. Biết cc j đâu,2
Thằng ad culi của rận chủ vịt tần xuống dưới trả lời chất vấn kìa :)),2
"Thấy zai xoắn xuýt lên,nghĩ cũng tội mà thôi cũng kệ",0
Mother fuck,2
Bọn này bắt dc đc phải sử bắn mới hả dạ,2
"Cái miệng cua con bong thuôi này chuoi ngta sẽ bị UNG THU hong,lưoi miệng cực kô?",2
Cái đụ,1
"Xấu quá trời, mà bày đặt chửi dan vn miệng như hai miếng thịt bò, ghét má quá trời à má ơi",2
Cố vấn cấp cao cho đàn c hó,1
coi cái thái độ khinh thường nhìn ghét vcl gặp ngoài đường sút cho mấy cái vào mõm,2
Zui vl,0
Đúng là có edit vô coi cười sặc á 😂,0
dân rick đây rồi ;3,0
Tội có Tội....nhưng Tội ngu quá khi những tình huống này hàng ngày nhìn thấy trên các nền tảng mạng xã hội quá nhiều,1
Có mấy thằng cộng nô lên mạng đọc báo lề phải cũng tin răm rắp,2
Chó cs bán nước hại dân.,2
xin cl,1
"Anh bảo có làm vid cho anh e xem, có làm ko",0
Vậy mà mấy ông liên đoàn bóng đá Việt Nam,0
về nước đi con chó,1
Ai giàu 3 họ.... Nhìn tởm,1
 ok nha sáng tỏ vụ có con luôn đk,0
"Thằng vô danh tiểu tốt này chấp nó làm gì, cho vài tệ nói cái đéo gì nó cũng nói, có khi bảo nó chửi bố nó nó cũng chửi. Kệ nó đi! Bao giờ là quan chức hẵng hay !",2
Dm nó còn cho người vào tháo đồ bán ấy,1
Bố m cũng đến chịu cách ăn mac khác người của nó !,1
Giờ tao thấy hối hận khi vừa nc với 1 con bò,1
Cách xử lí còn thiếu chuyên nghiệp nx. Ik cmt ngay trên bài của V để kéo theo ruồi phát sáng vô chửi chung,1
Địt mẹ trọng tài thì nghỉ mẹ việc đi,2
Vl.gắt,1
đã kết hôn rồi..vẫn nứng như chó cái,2
con cụ mẹ mày chết mẹ mày đi ok,2
Ghép chuẩn nhỉ,0
Muộn r con chó,1
Acc ảo,0
loi cai lin,1
lên từ chức là khéo,0
"k có thiện cảm vs thèn jack đc, đạo đức k có thì k có tư cách gì lm nghề sĩ cả. Có quá nhiều nghi vấn về trình độ chuyên môn, nhân cách bản thân của thèn jack. Bên bẻ lái dư luận là thèn jack thì ai tin? Chỉ có ruồi sáng đít tin thoii",1
Dhs cái thằng này live còn có ng xem nhỉ,1
Nghi về nước đi cha ơi Để người hâm mộ còn đến sân xem,0
Thằng Rách nhiều anti nhờ mấy con đóm sâu bọ đó. Đọc cmt bcuoi vl. Chúng mày thấy hay thì chúng mày bảo hay. Bọn t thấy k hay thì bảo k hay. Cãi đéo đc lại bảo nta bán ol nên tạo phốt. Đéo hiểu,2
Đù mẹ.,1
khônh đưa lên live nhưng chỉ dám đưa lên facebook. Ủa...,0
Ông phải tìm thầy pak học hỏi kinh nghiệm rồi về mới tiếp sự nghiệp Hlvt dc,0
"Mấy thằng thằng bóng lộn  xàm lòn,",2
Cộng Thành 3 que thất học muôn đời sủa,2
6:27 😂😂😂,0
Fake nhanh đấy,0
Ai táp l nó mà nó rên dữ v bây,2
danh thi ngu suot ngay dang cay thue cai ma cu nha m nhin ghet vc,2
Cần bố đụ phụ mẹ mày ko,2
Tinh trùng khuyết tật cã một bè lũ tham quan từ nhỏ tới bé từ thằn bố tới cháu chắc,2
 cc dm trọng tài về VN t bắn chế,2
Nghe ngứa buồi thật,1
Tội gì. Tật nhiều chuyện . Bán ko lo . Thà mua xôi thì tiếp . Rãnh đâu ra nói chuyện,1
Tý vào room nhé,0
Đù,0
"Lê Tấn Tài thế là cày view à , ngu lồn á mày",2
Đúng là xem mâý clip nây không tha cho nó đůöc nhìn cái mõm nó góm quá,1
cái bọn cướp ngày thì muốn làm gì chẳng được,2
"Biết thì thưa thớt, k biết ngậm cặc mà nghe. Cái mồm mày sủa gì tới quan lại tới thằng dân. Thế cái gia đình mày là phản động k thuộc nhà nước việt nam hay sao. Mày phán từ quan tới dân tao thấy gia đình nhà mày chắc chức sắc cũng to. Phán cái đéo gì c",2
Trần Đạt xin video đi ông,0
nói làm gì với thg trẻ con hả bạn mình nói đằng nó trả lời nẻo,1
"Nguyễn Quang Minh M ko thấy nó đang phá à, Park hang seo từ khi lên nắm quyền thì thắng nó 4 trái ko ngỡ ko 4 thì 2 trái nhưng từ khi hlv như c này về gặp indo tàng thua ko bị kéo xuống top 100 giao hữu thì tàng thua, thắng đội kém hơn mình trên bxh fi… Xem thêm",0
Tộc trưởng năm 1975 =)),0
Hạng mục thầy giáo cute nhất hệ mặt trời,0
bị ngu à? Nghe nhạc 2 thằng mà éo hiểu vấn đề,1
Mình có cách giảm mỡ bụng an toàn hiệu quả tại nhà hoàn toàn từ thiên nhiên. M đã áp dụng thành công vòng eo từ 85cm xuống còn 65cm. Ai hóng thì ib m chỉ cho nhé. ( K uống thuốc) m mách 10 người giảm cả 10,0
rất cảm động cho đến khi có 1 đàn chim cánh cụt 🙂‍↔️ 🙂‍↔️,0
cái tội mê trai kkkk,0
Bán xôi không nhiêu gặp toàn cướp bóc khong,0
Cái này nên đưa cho các em mẩu giáo xem để các em biết đánh răng thế nào cho đúng,0
Hot girl?? Đáng ra phải là pónk dơ chứ nhỉ???,1
 +1 single mom nhe,0
Sorry clmm hả,1
cc em luon,1
Phạm Hải Linh,0
m đần vl nói thế vẫn k hiểu.,2
Lâm Đỗ Hoàng Thông panba,0
Vô dạo Đức. Bắt được đập gãy tay nó,1
"bọn dlv hài thật =)) D*t me thằng ăn thuế của dân mà sống thì giúp dân là chuyện đương nhiên và lẽ đương nhiên chúng ta vẫn kính trọng họ , còn người ko ăn thuế , nộp thuế lại tự bỏ tiền túi ra giúp dân thì chúng nó chửi như chó, chúng nó chỉ làm xấu đi hình ảnh người chiến sĩ của chúng nó mà thôi",2
Ý thức như qq,1
loại m bạc tới cức,2
quê vãi l,1
"Nghỉ đi ông ạ, ở lại nhục mặt lắm",1
"Làm j phải chờ nó từ chức, đuôi thẳng cô đi luôn",1
